Date mutation,Valeur fonciere,Commune,Code departement,Type local,Surface reelle bati,Nombre pieces principales,année,prix_m2
19/02/2021,104000.0,ST MARTIN BOULOGNE,62,Appartement,52.0,2.0,2021,2000.0
25/08/2021,224000.0,ANNONAY,07,Maison,120.0,4.0,2021,1866.6666666666667
26/07/2021,476000.0,RUEIL-MALMAISON,92,Appartement,62.0,3.0,2021,7677.419354838709
10/06/2021,209000.0,CREVECOEUR SUR L ESCAUT,59,Maison,96.0,4.0,2021,2177.0833333333335
26/01/2021,128500.0,BRIVE LA GAILLARDE,19,Appartement,61.0,3.0,2021,2106.55737704918
15/12/2021,1086000.0,MONTGERMONT,35,Appartement,52.0,2.0,2021,20884.615384615383
09/04/2021,230000.0,LANSARGUES,34,Maison,57.0,2.0,2021,4035.0877192982457
06/05/2021,400000.0,PARIS 12,75,Appartement,33.0,2.0,2021,12121.212121212122
03/06/2021,190000.0,MONTREUIL-BELLAY,49,Maison,98.0,4.0,2021,1938.7755102040817
10/09/2021,198000.0,DAMPRICHARD,25,Maison,150.0,6.0,2021,1320.0
21/05/2021,170000.0,VILLEPARISIS,77,Appartement,78.0,3.0,2021,2179.4871794871797
13/09/2021,120500.0,BAIN-DE-BRETAGNE,35,Appartement,120.0,4.0,2021,1004.1666666666666
08/01/2021,391400.0,CHATEAUGAY,63,Maison,112.0,3.0,2021,3494.6428571428573
29/12/2021,229000.0,LE BOULOU,66,Maison,85.0,3.0,2021,2694.1176470588234
27/09/2021,97500.0,SAINT-GENCE,87,Maison,55.0,3.0,2021,1772.7272727272727
30/04/2021,248000.0,SOREDE,66,Maison,125.0,3.0,2021,1984.0
26/11/2021,899528.4,ST FONS,69,Appartement,72.0,4.0,2021,12493.45
05/05/2021,168000.0,FRANCONVILLE LA GARENNE,95,Appartement,38.0,2.0,2021,4421.0526315789475
25/11/2021,145000.0,MARTIGUES,13,Appartement,52.0,3.0,2021,2788.4615384615386
16/11/2021,240000.0,CLERMONT CREANS,72,Maison,105.0,3.0,2021,2285.714285714286
09/12/2021,157807.5,CARQUEFOU,44,Appartement,65.0,3.0,2021,2427.8076923076924
11/03/2021,138120.0,LA GRANDE MOTTE,34,Appartement,22.0,2.0,2021,6278.181818181818
21/09/2021,291000.0,PEYRINS,26,Maison,162.0,4.0,2021,1796.2962962962963
25/03/2021,291800.0,SAINT-MARTIN-LAGUEPIE,81,Maison,182.0,3.0,2021,1603.2967032967033
31/03/2021,94260.0,BRUAY LA BUISSIERE,62,Maison,80.0,4.0,2021,1178.25
13/12/2021,235400.0,PROVINS,77,Appartement,33.0,2.0,2021,7133.333333333333
28/12/2021,125000.0,VARENNES-VAUZELLES,58,Maison,149.0,5.0,2021,838.9261744966443
02/12/2021,114000.0,PARIS 17,75,Appartement,13.0,1.0,2021,8769.23076923077
09/11/2021,104000.0,LA POSSESSION,974,Appartement,44.0,2.0,2021,2363.6363636363635
09/02/2021,110000.0,BROXEELE,59,Maison,104.0,4.0,2021,1057.6923076923076
06/04/2021,235000.0,LE GRAND-LEMPS,38,Maison,93.0,5.0,2021,2526.8817204301076
24/09/2021,150000.0,SAINT-MARTIN-LA-PALLU,86,Maison,79.0,5.0,2021,1898.73417721519
04/10/2021,128200.0,LES RUES DES VIGNES,59,Maison,64.0,3.0,2021,2003.125
05/11/2021,380000.0,BETHENY,51,Appartement,82.0,3.0,2021,4634.1463414634145
17/09/2021,74681.0,VILLEURBANNE,69,Appartement,18.0,1.0,2021,4148.944444444444
29/11/2021,130000.0,MONTLAUR-EN-DIOIS,26,Maison,100.0,4.0,2021,1300.0
25/06/2021,135000.0,ALBERT,80,Maison,88.0,5.0,2021,1534.090909090909
20/12/2021,38000.0,SAINT-ETIENNE-DU-BOIS,01,Appartement,60.0,2.0,2021,633.3333333333334
